"words","frequency","first","second","third","fourth"
"doo doo doo doo",2,"doo","doo","doo","doo"
"dream last night i",2,"dream","last","night","i"
"eat fat lose fat",2,"eat","fat","lose","fat"
"ed sheeran ed sheeran",2,"ed","sheeran","ed","sheeran"
"ending date if mutual",2,"ending","date","if","mutual"
"every time i hear",2,"every","time","i","hear"
"every time i open",2,"every","time","i","open"
"every time i read",2,"every","time","i","read"
"every time i see",2,"every","time","i","see"
"everyone came last night",2,"everyone","came","last","night"
"expect kiss first date",2,"expect","kiss","first","date"
"experienced dark night soul",2,"experienced","dark","night","soul"
"extremely loud incredibly close",2,"extremely","loud","incredibly","close"
"fabulous baking brothers turn",2,"fabulous","baking","brothers","turn"
"failed hoping his god",2,"failed","hoping","his","god"
"fanatical minority always ones",2,"fanatical","minority","always","ones"
"feeling tonights gonna good",2,"feeling","tonights","gonna","good"
"first time i got",2,"first","time","i","got"
"first time ive ever",2,"first","time","ive","ever"
"flash west coast ipa",2,"flash","west","coast","ipa"
"follow happy i just",2,"follow","happy","i","just"
"follow me it would",2,"follow","me","it","would"
"follow will make dream",2,"follow","will","make","dream"
"following chris brown twitter",2,"following","chris","brown","twitter"
"forget get number expect",2,"forget","get","number","expect"
"found guilty involuntary manslaughter",2,"found","guilty","involuntary","manslaughter"
"friends bday best gift",2,"friends","bday","best","gift"
"genetic causes alzheimer’s disease",2,"genetic","causes","alzheimer’s","disease"
"get number expect kiss",2,"get","number","expect","kiss"
"gift follow will make",2,"gift","follow","will","make"
"girl reply follow happy",2,"girl","reply","follow","happy"
"goes without saying i",2,"goes","without","saying","i"
"gonna take ride big",2,"gonna","take","ride","big"
"good news i got",2,"good","news","i","got"
"good public space design",2,"good","public","space","design"
"good really need mascot",2,"good","really","need","mascot"
"good things will happen",2,"good","things","will","happen"
"gop republican presidential primaries",2,"gop","republican","presidential","primaries"
"got i let go",2,"got","i","let","go"
"grace period exception first",2,"grace","period","exception","first"
"great new years eve",2,"great","new","years","eve"
"greatest pleasure life people",2,"greatest","pleasure","life","people"
"green flash west coast",2,"green","flash","west","coast"
"hang around street corners",2,"hang","around","street","corners"
"happiest girl reply follow",2,"happiest","girl","reply","follow"
"happy birthday u happy",2,"happy","birthday","u","happy"
"happy first day spring",2,"happy","first","day","spring"
"happy i just explain",2,"happy","i","just","explain"
"happy mothers day mothers",2,"happy","mothers","day","mothers"
"has a life cycle",2,"has","a","life","cycle"
"have great day everyone",2,"have","great","day","everyone"
"help us spread word",2,"help","us","spread","word"
"hide yo kids hide",2,"hide","yo","kids","hide"
"his hands his feet",2,"his","hands","his","feet"
"hope everyone wonderful easter",2,"hope","everyone","wonderful","easter"
"html headtitle gonetitlehead body",2,"html","headtitle","gonetitlehead","body"
"i beautiful i sexy",2,"i","beautiful","i","sexy"
"i bought years ago",2,"i","bought","years","ago"
"i can see clearly",2,"i","can","see","clearly"
"i can think nothing",2,"i","can","think","nothing"
"i can’t say i",2,"i","can’t","say","i"
"i didn’t even know",2,"i","didn’t","even","know"
"i don’t deserve love",2,"i","don’t","deserve","love"
"i don’t know people",2,"i","don’t","know","people"
"i don’t want give",2,"i","don’t","want","give"
"i dont think understand",2,"i","dont","think","understand"
"i dream last night",2,"i","dream","last","night"
"i even know i",2,"i","even","know","i"
"i ever get sleep",2,"i","ever","get","sleep"
"i feel left out",2,"i","feel","left","out"
"i felt like time",2,"i","felt","like","time"
"i get home work",2,"i","get","home","work"
"i go back work",2,"i","go","back","work"
"i got new phone",2,"i","got","new","phone"
"i just buy already",2,"i","just","buy","already"
"i just explain characters",2,"i","just","explain","characters"
"i just finished mi",2,"i","just","finished","mi"
"i just saw commercial",2,"i","just","saw","commercial"
"i just started watching",2,"i","just","started","watching"
"i just told i",2,"i","just","told","i"
"i know i know",2,"i","know","i","know"
"i know i love",2,"i","know","i","love"
"i know i want",2,"i","know","i","want"
"i know re thinking",2,"i","know","re","thinking"
"i let go trust",2,"i","let","go","trust"
"i look forward day",2,"i","look","forward","day"
"i look like i",2,"i","look","like","i"
"i love i love",2,"i","love","i","love"
"i love life i",2,"i","love","life","i"
"i miss like crazy",2,"i","miss","like","crazy"
"i need go back",2,"i","need","go","back"
"i need go shopping",2,"i","need","go","shopping"
"i need hours day",2,"i","need","hours","day"
"i need right now",2,"i","need","right","now"
"i now following also",2,"i","now","following","also"
"i really hope get",2,"i","really","hope","get"
"i really need stop",2,"i","really","need","stop"
"i really want take",2,"i","really","want","take"
"i remember last time",2,"i","remember","last","time"
"i said i going",2,"i","said","i","going"
"i said yesterday i",2,"i","said","yesterday","i"
"i say i love",2,"i","say","i","love"
"i started reading book",2,"i","started","reading","book"
"i started writing i",2,"i","started","writing","i"
"i still got i",2,"i","still","got","i"
"i swear i just",2,"i","swear","i","just"
"i think absolutely amazing",2,"i","think","absolutely","amazing"
