"words","frequency","first","second"
"i asked",27,"i","asked"
"ice cream",27,"ice","cream"
"im glad",27,"im","glad"
"much better",27,"much","better"
"one i",27,"one","i"
"something like",27,"something","like"
"then i",27,"then","i"
"will make",27,"will","make"
"yeah i",27,"yeah","i"
"year i",27,"year","i"
"i already",26,"i","already"
"i trying",26,"i","trying"
"it also",26,"it","also"
"its just",26,"its","just"
"many times",26,"many","times"
"need get",26,"need","get"
"not sure",26,"not","sure"
"oh i",26,"oh","i"
"so excited",26,"so","excited"
"sure i",26,"sure","i"
"two weeks",26,"two","weeks"
"will always",26,"will","always"
"will help",26,"will","help"
"give us",25,"give","us"
"hope see",25,"hope","see"
"i able",25,"i","able"
"i bet",25,"i","bet"
"i give",25,"i","give"
"i understand",25,"i","understand"
"it will",25,"it","will"
"last time",25,"last","time"
"many people",25,"many","people"
"night i",25,"night","i"
"one best",25,"one","best"
"really good",25,"really","good"
"we will",25,"we","will"
"back home",24,"back","home"
"good time",24,"good","time"
"i live",24,"i","live"
"i promise",24,"i","promise"
"i seen",24,"i","seen"
"im sorry",24,"im","sorry"
"in the",24,"in","the"
"no one",24,"no","one"
"thank you",24,"thank","you"
"told i",24,"told","i"
"trying get",24,"trying","get"
"valentines day",24,"valentines","day"
"will go",24,"will","go"
"can tell",23,"can","tell"
"feel better",23,"feel","better"
"feels like",23,"feels","like"
"going get",23,"going","get"
"good news",23,"good","news"
"good night",23,"good","night"
"haha i",23,"haha","i"
"i left",23,"i","left"
"im happy",23,"im","happy"
"im really",23,"im","really"
"ive seen",23,"ive","seen"
"know im",23,"know","im"
"life i",23,"life","i"
"my mom",23,"my","mom"
"no i",23,"no","i"
"one another",23,"one","another"
"think im",23,"think","im"
"this will",23,"this","will"
"we love",23,"we","love"
"will come",23,"will","come"
"best friend",22,"best","friend"
"best thing",22,"best","thing"
"don’t want",22,"don’t","want"
"dont forget",22,"dont","forget"
"even know",22,"even","know"
"great weekend",22,"great","weekend"
"hard work",22,"hard","work"
"i ask",22,"i","ask"
"i care",22,"i","care"
"i learned",22,"i","learned"
"i met",22,"i","met"
"i spent",22,"i","spent"
"i’m sure",22,"i’m","sure"
"just i",22,"just","i"
"just one",22,"just","one"
"knew i",22,"knew","i"
"los angeles",22,"los","angeles"
"sorry i",22,"sorry","i"
"spend time",22,"spend","time"
"things like",22,"things","like"
"we can",22,"we","can"
"week i",22,"week","i"
"a lot",21,"a","lot"
"ago i",21,"ago","i"
"can use",21,"can","use"
"coming soon",21,"coming","soon"
"for example",21,"for","example"
"good thing",21,"good","thing"
"i finally",21,"i","finally"
"i realized",21,"i","realized"
"i start",21,"i","start"
"i tell",21,"i","tell"
"i work",21,"i","work"
"i wrote",21,"i","wrote"
"id love",21,"id","love"
"ive ever",21,"ive","ever"
"ive got",21,"ive","got"
"last day",21,"last","day"
"looked like",21,"looked","like"
"makes sense",21,"makes","sense"
"one person",21,"one","person"
"someone else",21,"someone","else"
"take time",21,"take","time"
"two days",21,"two","days"
"two years",21,"two","years"
"u can",21,"u","can"
"us know",21,"us","know"
"wanna go",21,"wanna","go"
"x x",21,"x","x"
"a little",20,"a","little"
"can never",20,"can","never"
"can say",20,"can","say"
"fact i",20,"fact","i"
"first i",20,"first","i"
"hope enjoy",20,"hope","enjoy"
"i forgot",20,"i","forgot"
"i little",20,"i","little"
"i looked",20,"i","looked"
"i swear",20,"i","swear"
"in case",20,"in","case"
"least one",20,"least","one"
"love i",20,"love","i"
"maybe i",20,"maybe","i"
"pretty sure",20,"pretty","sure"
"really really",20,"really","really"
"this one",20,"this","one"
"weeks ago",20,"weeks","ago"
"back i",19,"back","i"
"friday night",19,"friday","night"
"great job",19,"great","job"
"however i",19,"however","i"
"i enjoy",19,"i","enjoy"
"i help",19,"i","help"
"i imagine",19,"i","imagine"
"if like",19,"if","like"
"justin bieber",19,"justin","bieber"
"oh yeah",19,"oh","yeah"
"one time",19,"one","time"
"sure will",19,"sure","will"
"there many",19,"there","many"
"three years",19,"three","years"
"time get",19,"time","get"
"tomorrow night",19,"tomorrow","night"
"try get",19,"try","get"
"u know",19,"u","know"
"we also",19,"we","also"
